Episode Number,Pitch Number,Brand,Idea,Investment Amount (In Lakhs INR) ,Debt (In lakhs INR),Equity,Anupam,Ashneer,Namita,Aman,Peyush,Vineeta,Ghazal,Amit,Season,Anupam Mittal,Ashneer Grover,Namita Thapar,Aman Gupta,Peyush Bansal,Vineeta Singh,Ghazal Alagh,Amit Jain,Sharks
7,173,AyuSynk,Technology,5000000,,3.50%,N,N,Y,N,N,N,N,N,2,,,Namita Thapar,,,,,,
8,174,AtypicalAdvantage,Education,3000000,,3%,N,N,Y,Y,N,N,N,N,2,,,Namita Thapar,Aman Gupta,,,,,
8,175,HouseOfChikankari,Education,7500000,,3.75%,N,N,N,Y,Y,N,N,N,2,,,,Aman Gupta,Peyush Bansal,,,,
8,176,MagicOfMemories,Retail and Fashion,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
9,177,Paradyes,Retail and Fashion,6500000,,2%,N,N,N,Y,N,Y,N,N,2,,,,Aman Gupta,,Vineeta Singh,,,
9,178,Nestroots,Retail and Fashion,5000000,,2%,N,N,Y,N,N,N,N,N,2,,,Namita Thapar,,,,,,
10,179,Zillionaire,Retail and Fashion,100000000,,10%,Y,N,N,N,N,N,N,N,2,Anupam Mittal,,,,,,,,
10,180,Credmate,Retail and Fashion,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
10,181,Freebowler,Technology,2500000,,7.50%,N,N,Y,N,N,N,N,N,2,,,Namita Thapar,,,,,,
11,182,ABCSports&Fitness,Sports,4000000,,10%,N,N,N,N,Y,N,N,N,2,,,,,Peyush Bansal,,,,
11,183,Primebook,Technology,7500000,,3%,N,N,N,Y,Y,N,N,N,2,,,,Aman Gupta,Peyush Bansal,,,,
11,184,DailyDump,Technology,3000000,,4%,N,N,Y,N,N,N,N,N,2,,,Namita Thapar,,,,,,
12,185,GharSoaps,Retail and Fashion,6000000,,4%,N,N,N,Y,N,N,N,N,2,,,,Aman Gupta,,,,,
12,186,Janitri,Technology,100000000,,2.50%,N,N,Y,N,N,N,N,N,2,,,Namita Thapar,,,,,,
12,187,JaipurWatchCompany,Accessories,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
13,188,InsideFPV,Technology,7500000,,15%,N,N,Y,Y,Y,N,N,Y,2,,,Namita Thapar,Aman Gupta,Peyush Bansal,,,Amit Jain,
13,189,Angrakhaa,Retail and Fashion,4000000,,20%,N,N,N,N,N,N,N,Y,2,,,,,,,,Amit Jain,
13,190,Diabexy,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
14,191,Kyari,Technology,5100000,,6%,Y,N,N,N,Y,N,N,N,2,Anupam Mittal,,,,Peyush Bansal,,,,
14,192,MoppFoods,Food and Beverages,7500000,,5%,N,N,N,N,N,N,N,Y,2,,,,,,,,Amit Jain,
14,193,Econiture,Accessories,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
15,194,Dobiee,Sports,7200000,,6.50%,N,N,N,N,N,N,N,Y,2,,,,,,,,Amit Jain,
15,195,FastBeetle,Transportation,9000000,,7.50%,N,N,N,Y,Y,N,N,N,2,,,,Aman Gupta,Peyush Bansal,,,,
15,196,Pflow,Technology,6000000,,6%,N,N,Y,N,N,N,N,Y,2,,,Namita Thapar,,,,,Amit Jain,
16,197,VSMani,Food and Beverages,1900000,,1%,N,N,Y,N,N,N,N,N,2,,,Namita Thapar,,,,,,
16,198,Sepal,Transportation,5000000,,2%,N,N,N,N,Y,N,N,N,2,,,,,Peyush Bansal,,,,
16,199,Solinas,Technology,9000000,,3%,Y,N,N,N,Y,N,N,N,2,Anupam Mittal,,,,Peyush Bansal,,,,
17,200,AvimeeHerbal,Retail and Fashion,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
17,201,eyenic,Retail and Fashion,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
17,202,ekatra,Retail and Fashion,2000000,,20%,N,N,N,N,Y,N,N,Y,2,,,,,Peyush Bansal,,,Amit Jain,
18,203,Raasa,Food and Beverages,5000000,,25%,Y,N,N,N,N,N,N,N,2,Anupam Mittal,,,,,,,,
18,204,NeoMotion,Health and Fitness,100000000,,1%,N,N,N,N,Y,N,N,N,2,,,,,Peyush Bansal,,,,
18,205,licksters,Food and Beverages,2500000,,5%,N,N,N,N,N,N,N,Y,2,,,,,,,,Amit Jain,
18,206,Sayonara,Retail and Fashion,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
19,207,PMV,Transportation,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
19,208,SpiceStory,Food and Beverages,7000000,,5%,N,N,Y,N,N,N,N,N,2,,,Namita Thapar,,,,,,
19,209,Bullspree,Technology,7500000,,2.86%,N,N,N,Y,Y,N,N,N,2,,,,Aman Gupta,Peyush Bansal,,,,
20,210,Snitch,Retail and Fashion,150000000,,1.50%,Y,N,Y,Y,Y,Y,N,N,2,Anupam Mittal,,Namita Thapar,Aman Gupta,Peyush Bansal,Vineeta Singh,,,
20,211,Portl,Health and Fitness,150000000,,2.50%,N,N,Y,Y,Y,N,N,N,2,,,Namita Thapar,Aman Gupta,Peyush Bansal,,,,
20,212,FatToSlim,Health and Fitness,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
21,213,CheeseCake&Co.,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
21,214,Dabble,Food and Beverages,1500000,,10%,N,N,N,Y,N,N,N,N,2,,,,Aman Gupta,,,,,
21,215,CloudTailor,Accessories,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
21,216,BeUnic,Accessories,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
22,217,Broomees,Accessories,100000000,,3%,N,N,Y,Y,Y,N,N,N,2,,,Namita Thapar,Aman Gupta,Peyush Bansal,,,,
22,218,Ravel,Accessories,7500000,,10%,Y,N,N,N,N,N,N,N,2,Anupam Mittal,,,,,,,,
22,219,HoneyVeda,Food and Beverages,5000000,,20%,Y,N,N,N,N,Y,N,N,2,Anupam Mittal,,,,,Vineeta Singh,,,
23,220,PadCare,Health and Fitness,100000000,,4%,Y,N,Y,N,Y,Y,N,N,2,Anupam Mittal,,Namita Thapar,,Peyush Bansal,Vineeta Singh,,,
23,221,SwadeshiBlessings,Accessories,2500000,,5%,N,N,Y,N,N,Y,N,N,2,,,Namita Thapar,,,Vineeta Singh,,,
23,222,OLL,Education,3000000,,5%,N,N,N,N,Y,Y,N,N,2,,,,,Peyush Bansal,Vineeta Singh,,,
23,223,Febris,Health and Fitness,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
24,224,Geeani,Agriculture,100000000,,10%,Y,N,N,Y,N,Y,N,N,2,Anupam Mittal,,,Aman Gupta,,Vineeta Singh,,,
24,225,Amore,Food and Beverages,7500000,,7.50%,Y,N,N,N,N,N,N,N,2,Anupam Mittal,,,,,,,,
24,226,LeafyAffair,Retail and Fashion,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
25,227,ScrapUncle,Technology,6000000,,5%,N,N,N,N,N,N,N,Y,2,,,,,,,,Amit Jain,
25,228,SharmaJiKiAata,Food and Beverages,4000000,,20%,Y,N,N,N,N,N,N,N,2,Anupam Mittal,,,,,,,,
25,229,Manetain,Retail and Fashion,7500000,,10%,N,N,N,Y,N,N,N,N,2,,,,Aman Gupta,,,,,
26,230,GavinParis,Retail and Fashion,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
26,231,UnStop,Education,200000000,,4%,Y,N,Y,Y,N,N,N,Y,2,Anupam Mittal,,Namita Thapar,Aman Gupta,,,,Amit Jain,
26,232,BlueTea,Health and Fitness,5000000,,3%,N,N,N,Y,N,N,N,N,2,,,,Aman Gupta,,,,,
27,233,TheGreenSnack,Food and Beverages,100000000,,8%,N,N,N,N,N,Y,N,N,2,,,,,,Vineeta Singh,,,
27,234,HobbyIndia,Accessories,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
27,235,Flhexible,Accessories,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
27,236,UpThrust,Sports,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
28,237,Zoff,Technology,100000000,,1.25%,N,N,N,Y,N,N,N,N,2,,,,Aman Gupta,,,,,
28,238,DesiToys,Sports,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
28,239,CloudWorx,Technology,4000000,,3.20%,Y,N,Y,N,N,N,N,N,2,Anupam Mittal,,Namita Thapar,,,,,,
29,240,Mahantam,Health and Fitness,3000000,,20%,Y,N,Y,Y,Y,Y,N,N,2,Anupam Mittal,,Namita Thapar,Aman Gupta,Peyush Bansal,Vineeta Singh,,,
29,241,MindPeers,Health and Fitness,106000000,,2%,N,N,Y,Y,Y,Y,N,N,2,,,Namita Thapar,Aman Gupta,Peyush Bansal,Vineeta Singh,,,
29,242,Barosi,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
30,243,Daryaganj,Food and Beverages,9000000,,1%,N,N,N,Y,N,N,N,N,2,,,,Aman Gupta,,,,,
30,244,DhruvVidyut,Technology,0,,0.50%,Y,N,N,Y,Y,N,N,N,2,Anupam Mittal,,,Aman Gupta,Peyush Bansal,,,,
30,245,CELLBELL,Accessories,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
31,246,Tipayi,Transportation,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
31,247,DigiQure,Health and Fitness,4000000,,10%,N,N,Y,N,N,N,N,N,2,,,Namita Thapar,,,,,,
31,248,Nirmalaya,Retail and Fashion,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
32,249,Pabiben,Retail and Fashion,1000000,,5%,N,N,Y,N,N,N,N,N,2,,,Namita Thapar,,,,,,
32,250,Homestrap,Accessories,5000000,,7%,Y,N,N,N,N,N,N,N,2,Anupam Mittal,,,,,,,,
32,251,uBreathe,Agriculture,5000000,,5%,N,N,Y,N,N,N,N,N,2,,,Namita Thapar,,,,,,
32,252,Deyor,Transportation,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
33,253,iMumz,Transportation,1000000,,1%,N,N,N,N,Y,N,N,N,2,,,,,Peyush Bansal,,,,
33,254,TheHealthyBinge,Health and Fitness,5000000,,5%,N,N,N,Y,Y,N,N,N,2,,,,Aman Gupta,Peyush Bansal,,,,
33,255,Freakins,Retail and Fashion,5000000,,2.50%,N,N,N,N,N,Y,N,N,2,,,,,,Vineeta Singh,,,
34,256,Perfora,Health and Fitness,8000000,,2.50%,N,N,Y,N,Y,Y,N,N,2,,,Namita Thapar,,Peyush Bansal,Vineeta Singh,,,
34,257,MidNightAngelsByPC,Retail and Fashion,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
34,258,CureSee,Health and Fitness,5000000,,10%,N,N,N,N,Y,N,N,N,2,,,,,Peyush Bansal,,,,
35,259,MeduLance,Health and Fitness,200000000,,2%,N,N,Y,Y,Y,N,N,N,2,,,Namita Thapar,Aman Gupta,Peyush Bansal,,,,
35,260,Cakelicious,Food and Beverages,2500000,,20%,N,N,N,N,N,N,N,Y,2,,,,,,,,Amit Jain,
35,261,Bowled.io,Social,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
35,262,Toyshine,Accessories,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
36,263,neuphony,Technology,100000000,,5.40%,N,N,N,Y,Y,N,N,N,2,,,,Aman Gupta,Peyush Bansal,,,,
36,264,Amrutam,Health and Fitness,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
36,265,HoloKitab,Technology,4500000,,25%,N,N,Y,N,N,N,N,N,2,,,Namita Thapar,,,,,,
37,266,Zoe,Health and Fitness,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
37,267,Hornback,Transportation,5000000,,2.50%,N,N,N,N,N,N,N,Y,2,,,,,,,,Amit Jain,
37,268,Malaki,Food and Beverages,5000000,,3%,N,N,N,Y,Y,N,N,N,2,,,,Aman Gupta,Peyush Bansal,,,,
37,269,nanoclean,Health and Fitness,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
38,270,DesmondJi,Sports,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
38,271,Cremeitalia,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
38,272,nawgati,Transportation,6700000,,3%,N,N,N,Y,N,N,N,Y,2,,,,Aman Gupta,,,,Amit Jain,
38,273,Swytchd,Transportation,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
39,274,GladFul,Food and Beverages,5000000,,3.50%,N,N,Y,Y,N,N,N,Y,2,,,Namita Thapar,Aman Gupta,,,,Amit Jain,
39,275,Pharmallama,Health and Fitness,200000000,,5%,Y,N,Y,Y,Y,N,N,Y,2,Anupam Mittal,,Namita Thapar,Aman Gupta,Peyush Bansal,,,Amit Jain,
39,276,CraveRajaFoods,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
39,277,VAPerfume,Retail and Fashion,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
40,278,Hood,Social,6000000,,0.54%,N,N,N,Y,Y,N,N,N,2,,,,Aman Gupta,Peyush Bansal,,,,
40,279,TwistingScoops,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
40,280,GROWiT,Agriculture,5000000,,1%,N,N,Y,N,Y,N,N,N,2,,,Namita Thapar,,Peyush Bansal,,,,
41,281,Makino,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
41,282,Trunome,Transportation,150000000,,2%,Y,N,N,Y,Y,Y,N,N,2,Anupam Mittal,,,Aman Gupta,Peyush Bansal,Vineeta Singh,,,
41,283,Wol3D,Technology,8000000,,2%,N,N,N,Y,N,N,N,N,2,,,,Aman Gupta,,,,,
41,284,What'sUpWellness,Food and Beverages,6000000,,4.76%,Y,N,N,Y,N,Y,N,N,2,Anupam Mittal,,,Aman Gupta,,Vineeta Singh,,,
42,285,ProostBeer,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
42,286,DrCubes,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
42,287,MetroRide,Transportation,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
42,288,Conker,Education,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
43,289,WTF,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
43,290,funngro,Food and Beverages,5000000,,4.16%,N,N,Y,N,N,N,N,Y,2,,,Namita Thapar,,,,,Amit Jain,
43,291,Aadvik,Food and Beverages,1500000,,1.50%,N,N,N,N,N,N,N,Y,2,,,,,,,,Amit Jain,
43,292,oyehappy,Accessories,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
44,293,HealthyMaster,Health and Fitness,5000000,,6.50%,N,N,N,N,N,Y,N,N,2,,,,,,Vineeta Singh,,,
44,294,Kitsons,Education,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
44,295,LondonBubble,Food and Beverages,7500000,,15%,N,N,Y,N,N,N,N,N,2,,,Namita Thapar,,,,,,
44,296,WaggyZone,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
45,297,NutriCook,Accessories,5000000,,10%,N,N,N,N,N,Y,N,N,2,,,,,,Vineeta Singh,,,
45,298,Subhag,Technology,2000000,,1%,N,N,Y,N,N,N,N,N,2,,,Namita Thapar,,,,,,
45,299,SinghStyled,Retail and Fashion,5000000,,10%,N,N,N,N,Y,N,N,N,2,,,,,Peyush Bansal,,,,
46,300,ZSportsTech,Sports,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
46,301,ThePlatedProject,Accessories,7500000,,3.75%,N,N,Y,Y,N,Y,N,N,2,,,Namita Thapar,Aman Gupta,,Vineeta Singh,,,
46,302,VsnapU,Retail and Fashion,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
46,303,TheHealthyFactory,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
47,304,Brevistay,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
47,305,SoulUp,Health and Fitness,5000000,,5%,N,N,Y,N,N,N,N,N,2,,,Namita Thapar,,,,,,
47,306,TheBigBookBox ChapterOneBooks,Education,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
48,307,Rubans,Retail and Fashion,100000000,,1%,N,N,Y,Y,N,Y,N,N,2,,,Namita Thapar,Aman Gupta,,Vineeta Singh,,,
48,308,SameNotification,Technology,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
48,309,BottomLineSprays,Retail and Fashion,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
48,310,LilGoodness,Food and Beverages,5000000,,1%,N,N,N,N,Y,N,N,N,2,,,,,Peyush Bansal,,,,
49,311,ForeverModest,Retail and Fashion,2000000,,20%,Y,N,Y,N,N,Y,N,Y,2,Anupam Mittal,,Namita Thapar,,,Vineeta Singh,,Amit Jain,
49,312,Sahayatha,Health and Fitness,100000000,,10%,Y,N,Y,Y,Y,N,N,Y,2,Anupam Mittal,,Namita Thapar,Aman Gupta,Peyush Bansal,,,Amit Jain,
49,313,WickedGud,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
49,314,maisha,Accessories,1000000,,1%,N,N,N,N,N,N,N,Y,2,,,,,,,,Amit Jain,
50,315,NishHair,Retail and Fashion,100000000,,2%,N,N,N,N,N,N,N,Y,2,,,,,,,,Amit Jain,
50,316,MYBYK,Transportation,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
51,317,GODESi,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
51,318,TAC,Health and Fitness,8100000,,1%,N,N,N,Y,N,N,N,N,2,,,,Aman Gupta,,,,,
51,319,Naara-Aaba,Food and Beverages,5000000,,5%,N,N,N,N,N,Y,N,N,2,,,,,,Vineeta Singh,,,
51,320,StyloBug,Retail and Fashion,8000000,,10%,N,N,N,N,N,N,N,Y,2,,,,,,,,Amit Jain,
0,321,ZenOnco,Health and Fitness,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
